ts,symbol,action,reason,price,balance
2026-05-08T12:20:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.57,100.0
2026-05-08T12:25:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.71,100.0
2026-05-08T12:30:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.66,100.0
2026-05-08T12:35:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.61,100.0
2026-05-08T12:40:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.73,100.0
2026-05-08T12:45:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.57,100.0
2026-05-08T12:50:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.55,100.0
2026-05-08T12:55:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.46,100.0
2026-05-08T13:00:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.51,100.0
2026-05-08T13:05:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.41,100.0
2026-05-08T13:10:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.28,100.0
2026-05-08T13:15:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.39,100.0
2026-05-08T13:20:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.5,100.0
2026-05-08T13:25:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.29,100.0
2026-05-08T13:35:00Z,SOLUSDT,SHORT,BEAR_RSI,88.14,100.0
2026-05-08T13:55:00Z,SOLUSDT,COVER,SL_HIT,88.34,99.99
2026-05-08T14:30:00Z,SOLUSDT,BUY,BULL_RSI,89.09,99.99
2026-05-08T15:05:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.95,99.99
2026-05-08T15:10:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.9,99.99
2026-05-08T15:15:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.7,99.99
2026-05-08T15:20:00Z,SOLUSDT,SELL,SL_HIT,88.48,99.97
2026-05-08T15:30:00Z,SOLUSDT,SHORT,BEAR_RSI,88.82,99.97
2026-05-08T15:35:00Z,SOLUSDT,COVER,REGIME_REVERSE,89.06,99.96
2026-05-08T15:40:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.18,99.96
2026-05-08T15:45:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.25,99.96
2026-05-08T15:50:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.5,99.96
2026-05-08T16:00:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.41,99.96
2026-05-08T16:05:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.46,99.96
2026-05-08T16:10:00Z,SOLUSDT,BUY,BULL_RSI,89.49,99.96
2026-05-08T17:10:00Z,SOLUSDT,SELL,TP_HIT,89.79,99.97
