ts,balance,positions,total_equity
2026-05-08T03:25:00+00:00,100.0,0,100.0
2026-05-08T04:15:00+00:00,100.0,0,100.0
2026-05-08T05:05:00+00:00,100.0,0,100.0
2026-05-08T05:55:00+00:00,100.0,0,100.0
2026-05-08T06:45:00+00:00,100.0,0,100.0
2026-05-08T07:35:00+00:00,100.0,0,100.0
2026-05-08T08:25:00+00:00,100.0,0,100.0
2026-05-08T09:15:00+00:00,100.0,0,100.0
2026-05-08T10:05:00+00:00,100.0,0,100.0
2026-05-08T10:55:00+00:00,100.0,0,100.0
2026-05-08T11:45:00+00:00,100.0,0,100.0
2026-05-08T12:35:00+00:00,100.0,0,100.0
2026-05-08T13:25:00+00:00,100.0,0,100.0
2026-05-08T14:15:00+00:00,100.0,0,100.0
2026-05-08T15:05:00+00:00,100.0,0,100.0
2026-05-08T15:55:00+00:00,100.0,0,100.0
2026-05-08T16:45:00+00:00,100.0,0,100.0
2026-05-08T17:35:00+00:00,100.0,0,100.0
2026-05-08T18:25:00+00:00,100.0,0,100.0
2026-05-08T19:15:00+00:00,100.0,0,100.0
2026-05-08T20:05:00+00:00,100.0,0,100.0
2026-05-08T20:55:00+00:00,100.0,0,100.0
2026-05-08T21:45:00+00:00,100.0,0,100.0
2026-05-08T22:35:00+00:00,100.0,0,100.0
2026-05-08T23:25:00+00:00,100.0,0,100.0
2026-05-09T00:15:00+00:00,100.0,0,100.0
2026-05-09T01:05:00+00:00,100.0,0,100.0
