ts,balance,positions,total_equity
2026-05-06T23:25:00+00:00,100.0,0,100.0
2026-05-07T00:15:00+00:00,100.0,0,100.0
2026-05-07T01:05:00+00:00,100.0,0,100.0
2026-05-07T01:55:00+00:00,100.0,0,100.0
2026-05-07T02:45:00+00:00,100.0,0,100.0
2026-05-07T03:35:00+00:00,100.0,0,100.0
2026-05-07T04:25:00+00:00,100.0,0,100.0
2026-05-07T05:15:00+00:00,100.0,0,100.0
2026-05-07T06:05:00+00:00,100.0,0,100.0
2026-05-07T06:55:00+00:00,100.0,0,100.0
2026-05-07T07:45:00+00:00,100.0,0,100.0
2026-05-07T08:35:00+00:00,100.0,0,100.0
2026-05-07T09:25:00+00:00,100.0,0,100.0
2026-05-07T10:15:00+00:00,100.0,0,100.0
2026-05-07T11:05:00+00:00,100.0,0,100.0
2026-05-07T11:55:00+00:00,100.0,0,100.0
2026-05-07T12:45:00+00:00,100.0,0,100.0
2026-05-07T13:35:00+00:00,100.0,0,100.0
2026-05-07T14:25:00+00:00,100.0,0,100.0
2026-05-07T15:15:00+00:00,100.0,0,100.0
2026-05-07T16:05:00+00:00,100.0,0,100.0
2026-05-07T16:55:00+00:00,100.0,0,100.0
2026-05-07T17:45:00+00:00,100.0,0,100.0
2026-05-07T18:35:00+00:00,100.0,0,100.0
2026-05-07T19:25:00+00:00,100.0,0,100.0
2026-05-07T20:15:00+00:00,100.0,0,100.0
2026-05-07T21:05:00+00:00,100.0,0,100.0
