ts,balance,positions,total_equity
2026-05-08T01:25:00+00:00,100.0,0,100.0
2026-05-08T02:15:00+00:00,100.0,0,100.0
2026-05-08T03:05:00+00:00,100.0,0,100.0
2026-05-08T03:55:00+00:00,100.0,0,100.0
2026-05-08T04:45:00+00:00,100.0,0,100.0
2026-05-08T05:35:00+00:00,100.0,0,100.0
2026-05-08T06:25:00+00:00,100.0,0,100.0
2026-05-08T07:15:00+00:00,100.0,0,100.0
2026-05-08T08:05:00+00:00,100.0,0,100.0
2026-05-08T08:55:00+00:00,100.0,0,100.0
2026-05-08T09:45:00+00:00,100.0,0,100.0
2026-05-08T10:35:00+00:00,100.0,0,100.0
2026-05-08T11:25:00+00:00,100.0,0,100.0
2026-05-08T12:15:00+00:00,100.0,0,100.0
2026-05-08T13:05:00+00:00,100.0,0,100.0
2026-05-08T13:55:00+00:00,100.0,0,100.0
2026-05-08T14:45:00+00:00,100.0,0,100.0
2026-05-08T15:35:00+00:00,100.0,0,100.0
2026-05-08T16:25:00+00:00,100.0,0,100.0
2026-05-08T17:15:00+00:00,100.0,0,100.0
2026-05-08T18:05:00+00:00,100.0,0,100.0
2026-05-08T18:55:00+00:00,100.0,0,100.0
2026-05-08T19:45:00+00:00,100.0,0,100.0
2026-05-08T20:35:00+00:00,100.0,0,100.0
2026-05-08T21:25:00+00:00,100.0,0,100.0
2026-05-08T22:15:00+00:00,100.0,0,100.0
2026-05-08T23:05:00+00:00,100.0,0,100.0
