ts,balance,positions,total_equity
2026-05-08T10:00:00+00:00,100.0,0,100.0
2026-05-08T10:50:00+00:00,100.0,0,100.0
2026-05-08T11:40:00+00:00,100.0,0,100.0
2026-05-08T12:30:00+00:00,100.0,0,100.0
2026-05-08T13:20:00+00:00,100.0,0,100.0
2026-05-08T14:10:00+00:00,100.0,0,100.0
2026-05-08T15:00:00+00:00,100.0,0,100.0
2026-05-08T15:50:00+00:00,100.0,0,100.0
2026-05-08T16:40:00+00:00,100.0,0,100.0
2026-05-08T17:30:00+00:00,100.0,0,100.0
2026-05-08T18:20:00+00:00,100.0,0,100.0
2026-05-08T19:10:00+00:00,100.0,0,100.0
2026-05-08T20:00:00+00:00,100.0,0,100.0
2026-05-08T20:50:00+00:00,100.0,0,100.0
2026-05-08T21:40:00+00:00,100.0,0,100.0
2026-05-08T22:30:00+00:00,100.0,0,100.0
2026-05-08T23:20:00+00:00,100.0,0,100.0
2026-05-09T00:10:00+00:00,100.0,0,100.0
2026-05-09T01:00:00+00:00,100.0,0,100.0
2026-05-09T01:50:00+00:00,100.0,0,100.0
2026-05-09T02:40:00+00:00,100.0,0,100.0
2026-05-09T03:30:00+00:00,100.0,0,100.0
2026-05-09T04:20:00+00:00,100.0,0,100.0
2026-05-09T05:10:00+00:00,100.0,0,100.0
2026-05-09T06:00:00+00:00,100.0,0,100.0
2026-05-09T06:50:00+00:00,100.0,0,100.0
2026-05-09T07:40:00+00:00,100.0,0,100.0
