ts,action,entry,exit,sl,tp,pnl,rr,reason
2026-05-07T06:15:00+00:00,SHORT,88.32824,,88.601778,88.054702,0.0,1.0,ENTRY_SHORT
2026-05-07T06:30:00+00:00,COVER,88.32824,88.601778,88.601778,88.054702,-0.929,1.0,SL_HIT
2026-05-07T09:05:00+00:00,SHORT,89.46938,,89.810039,89.128721,0.0,1.0,ENTRY_SHORT
2026-05-07T10:10:00+00:00,COVER,89.46938,89.128721,89.810039,89.128721,1.1317,1.0,TP_HIT
2026-05-07T13:40:00+00:00,SHORT,89.089,,89.409445,88.768555,0.0,1.0,ENTRY_SHORT
2026-05-07T13:45:00+00:00,COVER,89.089,88.768555,89.409445,88.768555,1.0813,1.0,TP_HIT
2026-05-07T13:50:00+00:00,SHORT,88.66858,,89.04,88.29716,0.0,1.0,ENTRY_SHORT
2026-05-07T14:30:00+00:00,COVER,88.66858,88.29716,89.04,88.29716,1.2728,1.0,TP_HIT
2026-05-08T01:15:00+00:00,SHORT,88.10802,,88.316835,87.899205,0.0,1.0,ENTRY_SHORT
2026-05-08T02:00:00+00:00,COVER,88.10802,87.899205,88.316835,87.899205,0.7292,1.0,TP_HIT
2026-05-08T02:05:00+00:00,SHORT,87.99791,,88.203812,87.792008,0.0,1.0,ENTRY_SHORT
2026-05-08T02:05:00+00:00,COVER,87.99791,87.792008,88.203812,87.792008,0.725,1.0,TP_HIT
