timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,150.000000,150.750000,149.250000,150.000000,0.6881,0.5314,SELL,0.4231
2026-01-01T00:05:00Z,BTC,5m,150.000000,150.018595,149.940089,149.958679,0.4805,0.4761,SELL,0.4231
2026-01-01T00:10:00Z,BTC,5m,149.958679,151.154173,149.588294,150.781756,0.6807,0.4713,SELL,0.4231
2026-01-01T00:15:00Z,BTC,5m,150.781756,152.627845,150.210325,152.051602,0.7621,0.5126,SELL,0.4231
2026-01-01T00:20:00Z,BTC,5m,152.051602,152.322637,151.179340,151.449301,0.3960,0.4712,SELL,0.4231
2026-01-01T00:25:00Z,BTC,5m,151.449301,152.633610,151.082370,152.264704,0.6649,0.5202,SELL,0.4231
2026-01-01T00:30:00Z,BTC,5m,152.264704,152.758814,152.111466,152.605233,0.5737,0.4685,SELL,0.4231
2026-01-01T00:35:00Z,BTC,5m,152.605233,154.056345,152.155801,153.603972,0.6834,0.4606,SELL,0.4231
2026-01-01T00:40:00Z,BTC,5m,153.603972,155.022681,153.164550,154.580465,0.7181,0.4804,SELL,0.4231
2026-01-01T00:45:00Z,BTC,5m,154.580465,156.015419,154.136016,155.568130,0.7023,0.4702,SELL,0.4231
2026-01-01T00:50:00Z,BTC,5m,155.568130,155.919046,155.459277,155.810024,0.5495,0.5186,SELL,0.4231
2026-01-01T00:55:00Z,BTC,5m,155.810024,156.141932,154.742113,155.072450,0.3580,0.4643,SELL,0.4231
2026-01-01T01:00:00Z,BTC,5m,155.072450,155.607566,153.352290,153.883303,0.2622,0.4744,SELL,0.4231
2026-01-01T01:05:00Z,BTC,5m,153.883303,154.949779,153.552817,154.617716,0.6453,0.4993,SELL,0.4231
2026-01-01T01:10:00Z,BTC,5m,154.617716,155.019406,153.325699,153.725071,0.3393,0.5265,SELL,0.4231
2026-01-01T01:15:00Z,BTC,5m,153.725071,154.302805,151.868309,152.441218,0.2144,0.5269,SELL,0.4231
2026-01-01T01:20:00Z,BTC,5m,152.441218,152.656985,151.746647,151.961736,0.4168,0.5345,SELL,0.4231
2026-01-01T01:25:00Z,BTC,5m,151.961736,153.263012,151.558628,152.857529,0.7071,0.5317,SELL,0.4231
2026-01-01T01:30:00Z,BTC,5m,152.857529,153.263776,152.731524,153.137540,0.5391,0.5052,SELL,0.4231
2026-01-01T01:35:00Z,BTC,5m,153.137540,153.191669,153.120743,153.174868,0.5153,0.4718,SELL,0.4231
2026-01-01T01:40:00Z,BTC,5m,153.174868,153.626580,151.722309,152.171062,0.3168,0.5082,SELL,0.4231
2026-01-01T01:45:00Z,BTC,5m,152.171062,152.572778,150.879001,151.278360,0.3342,0.5021,SELL,0.4231
2026-01-01T01:50:00Z,BTC,5m,151.278360,151.855570,149.423356,149.995671,0.2360,0.5322,SELL,0.4231
2026-01-01T01:55:00Z,BTC,5m,149.995671,150.602911,149.807381,150.414095,0.5752,0.4698,SELL,0.4231
2026-01-01T02:00:00Z,BTC,5m,150.414095,150.544590,149.993864,150.124107,0.4387,0.5119,SELL,0.4231
2026-01-01T02:05:00Z,BTC,5m,150.124107,150.310664,149.523495,149.709536,0.3921,0.4950,SELL,0.4231
2026-01-01T02:10:00Z,BTC,5m,149.709536,150.580460,149.439585,150.309427,0.6573,0.5278,SELL,0.4231
2026-01-01T02:15:00Z,BTC,5m,150.309427,150.820927,148.665131,149.172762,0.2888,0.5300,SELL,0.4231
2026-01-01T02:20:00Z,BTC,5m,149.172762,150.681255,148.705618,150.210860,0.7097,0.5219,SELL,0.4231
