ts,balance,positions,total_equity
2026-05-08T08:50:00+00:00,100.0,0,100.0
2026-05-08T09:40:00+00:00,100.0,0,100.0
2026-05-08T10:30:00+00:00,100.0,0,100.0
2026-05-08T11:20:00+00:00,100.0,0,100.0
2026-05-08T12:10:00+00:00,100.0,0,100.0
2026-05-08T13:00:00+00:00,100.0,0,100.0
2026-05-08T13:50:00+00:00,100.0,0,100.0
2026-05-08T14:40:00+00:00,100.0,0,100.0
2026-05-08T15:30:00+00:00,100.0,0,100.0
2026-05-08T16:20:00+00:00,100.0,0,100.0
2026-05-08T17:10:00+00:00,100.0,0,100.0
2026-05-08T18:00:00+00:00,100.0,0,100.0
2026-05-08T18:50:00+00:00,100.0,0,100.0
2026-05-08T19:40:00+00:00,100.0,0,100.0
2026-05-08T20:30:00+00:00,100.0,0,100.0
2026-05-08T21:20:00+00:00,100.0,0,100.0
2026-05-08T22:10:00+00:00,100.0,0,100.0
2026-05-08T23:00:00+00:00,100.0,0,100.0
2026-05-08T23:50:00+00:00,100.0,0,100.0
2026-05-09T00:40:00+00:00,100.0,0,100.0
2026-05-09T01:30:00+00:00,100.0,0,100.0
2026-05-09T02:20:00+00:00,100.0,0,100.0
2026-05-09T03:10:00+00:00,100.0,0,100.0
2026-05-09T04:00:00+00:00,100.0,0,100.0
2026-05-09T04:50:00+00:00,100.0,0,100.0
2026-05-09T05:40:00+00:00,100.0,0,100.0
2026-05-09T06:30:00+00:00,100.0,0,100.0
