entry_timestamp_utc,exit_timestamp_utc,instrument,timeframe,side,stake,p_side_model,edge,entry_price,exit_price,result,pnl,equity_after
2026-05-08T00:55:00+00:00,2026-05-08T01:00:00+00:00,SOLUSDT,5m,UP,0.377263,0.5312,0.1843,88.27,88.3,WIN,0.3584,100.3584
2026-05-08T01:15:00+00:00,2026-05-08T01:20:00+00:00,SOLUSDT,5m,UP,0.028417,0.5142,0.3037,88.14,88.09,LOSS,-0.028417,100.329983
2026-05-08T01:25:00+00:00,2026-05-08T01:30:00+00:00,SOLUSDT,5m,UP,0.728607,0.5482,0.2324,88.2,88.26,WIN,0.692177,101.022159
2026-05-08T01:30:00+00:00,2026-05-08T01:35:00+00:00,SOLUSDT,5m,UP,1.084074,0.5651,0.144,88.26,88.21,LOSS,-1.084074,99.938085
2026-05-08T02:10:00+00:00,2026-05-08T02:15:00+00:00,SOLUSDT,5m,UP,0.202664,0.5227,0.4247,87.94,87.66,LOSS,-0.202664,99.735421
2026-05-08T02:20:00+00:00,2026-05-08T02:25:00+00:00,SOLUSDT,5m,UP,0.08761,0.5171,0.2515,87.83,87.9,WIN,0.083229,99.81865
2026-05-08T02:25:00+00:00,2026-05-08T02:30:00+00:00,SOLUSDT,5m,UP,1.544457,0.5882,0.2132,87.9,88.23,WIN,1.467234,101.285885
2026-05-08T07:25:00+00:00,2026-05-08T07:30:00+00:00,SOLUSDT,5m,UP,0.088972,0.5171,0.3995,87.81,87.88,WIN,0.084523,101.370408
2026-05-08T07:30:00+00:00,2026-05-08T07:35:00+00:00,SOLUSDT,5m,UP,0.917189,0.5569,0.2614,87.88,87.96,WIN,0.871329,102.241737
2026-05-08T07:35:00+00:00,2026-05-08T07:40:00+00:00,SOLUSDT,5m,UP,1.103457,0.5654,0.0881,87.96,88.05,WIN,1.048285,103.290022
2026-05-08T10:15:00+00:00,2026-05-08T10:20:00+00:00,SOLUSDT,5m,UP,0.686498,0.5452,0.104,88.45,88.48,WIN,0.652173,103.942195
2026-05-08T13:15:00+00:00,2026-05-08T13:20:00+00:00,SOLUSDT,5m,UP,0.270523,0.5255,0.2811,88.39,88.5,WIN,0.256997,104.199192
2026-05-08T13:20:00+00:00,2026-05-08T13:25:00+00:00,SOLUSDT,5m,UP,1.719177,0.5932,0.1043,88.5,88.29,LOSS,-1.719177,102.480015
2026-05-08T13:30:00+00:00,2026-05-08T13:35:00+00:00,SOLUSDT,5m,UP,0.977713,0.5593,0.0704,88.5,88.14,LOSS,-0.977713,101.502302
2026-05-08T13:45:00+00:00,2026-05-08T13:50:00+00:00,SOLUSDT,5m,UP,1.678848,0.5934,0.3031,88.29,88.28,LOSS,-1.678848,99.823454
