ts,action,entry,exit,sl,tp,pnl,rr,reason
2026-05-08T13:00:00+00:00,SHORT,88.505,,88.734667,88.275333,0.0,1.0,ENTRY_SHORT
2026-05-08T13:10:00+00:00,COVER,88.505,88.275333,88.734667,88.275333,0.7785,1.0,TP_HIT
2026-05-08T13:15:00+00:00,SHORT,88.34,,88.595899,88.084101,0.0,1.0,ENTRY_SHORT
2026-05-08T13:40:00+00:00,SHORT,88.22814,,88.514901,87.941379,0.0,1.0,ENTRY_SHORT
2026-05-08T13:40:00+00:00,COVER,88.34,88.084101,88.595899,88.084101,0.8758,1.0,TP_HIT
2026-05-08T14:00:00+00:00,COVER,88.22814,88.514901,88.514901,87.941379,-0.963,1.0,SL_HIT
2026-05-08T17:40:00+00:00,BUY,91.78812,,89.85,93.72624,0.0,1.0,ENTRY_BUY
2026-05-08T23:40:00+00:00,SHORT,91.84,,92.057856,91.622144,0.0,1.0,ENTRY_SHORT
2026-05-08T23:55:00+00:00,COVER,91.84,92.057856,92.057856,91.622144,-0.0378,1.0,SL_HIT
2026-05-09T01:50:00+00:00,SELL,91.78812,93.72624,89.85,93.72624,2.0138,1.0,TP_HIT
2026-05-09T04:45:00+00:00,SHORT,93.485,,93.7526,93.2174,0.0,1.0,ENTRY_SHORT
2026-05-09T04:55:00+00:00,COVER,93.485,93.2174,93.7526,93.2174,0.8817,1.0,TP_HIT
2026-05-09T05:00:00+00:00,SHORT,93.33324,,93.623955,93.042525,0.0,1.0,ENTRY_SHORT
2026-05-09T05:00:00+00:00,COVER,93.33324,93.042525,93.623955,93.042525,0.9676,1.0,TP_HIT
2026-05-09T05:05:00+00:00,SHORT,93.07298,,93.42,92.72596,0.0,1.0,ENTRY_SHORT
2026-05-09T05:20:00+00:00,COVER,93.07298,93.42,93.42,92.72596,-1.1691,1.0,SL_HIT
