ts,side,qty,usd_amount,pnl,symbol
2026-05-08T14:55:00Z,SHORT,0.033651,3.0,0,SOLUSDT
2026-05-08T15:20:00Z,COVER,0.033651,3.0,0.0225,SOLUSDT
2026-05-08T15:30:00Z,SHORT,0.033776,3.0,0,SOLUSDT
2026-05-08T15:35:00Z,COVER,0.033776,3.0,-0.0081,SOLUSDT
2026-05-08T16:35:00Z,BUY,0.033482,3.0,0,SOLUSDT
2026-05-08T17:15:00Z,SELL,0.033482,3.0,0.0131,SOLUSDT
2026-05-09T08:15:00Z,BUY,0.031983,3.0,0,SOLUSDT
2026-05-09T09:00:00Z,SELL,0.031983,3.0,-0.0058,SOLUSDT
2026-05-09T09:50:00Z,BUY,0.032168,3.0,0,SOLUSDT
2026-05-09T10:40:00Z,SELL,0.032168,3.0,0.0074,SOLUSDT
2026-05-09T11:00:00Z,BUY,0.032103,3.0,0,SOLUSDT
2026-05-09T11:20:00Z,SELL,0.032103,3.0,0.0064,SOLUSDT
2026-05-09T13:10:00Z,BUY,0.032123,3.0,0,SOLUSDT
