ts,symbol,action,reason,price,balance
2026-05-08T14:05:00Z,SOLUSDT,BUY,BOX_BREAKOUT_UP,88.76,100.0
2026-05-08T15:20:00Z,SOLUSDT,SELL,TP/SL_OR_FAIL,88.48,99.98
2026-05-08T15:50:00Z,SOLUSDT,BUY,BOX_BREAKOUT_UP,89.5,99.98
2026-05-08T18:20:00Z,SOLUSDT,SELL,TP/SL_OR_FAIL,92.26,100.14
2026-05-08T19:15:00Z,SOLUSDT,BUY,BOX_BREAKOUT_UP,92.69,100.14
2026-05-08T20:50:00Z,SOLUSDT,SELL,TP/SL_OR_FAIL,92.11,100.11
2026-05-08T21:05:00Z,SOLUSDT,SHORT,BOX_BREAKOUT_DOWN,91.88,100.11
2026-05-08T22:00:00Z,SOLUSDT,COVER,TP/SL_OR_FAIL,92.48,100.07
2026-05-08T23:05:00Z,SOLUSDT,SHORT,BOX_BREAKOUT_DOWN,92.1,100.07
2026-05-09T00:20:00Z,SOLUSDT,COVER,TP/SL_OR_FAIL,92.28,100.06
2026-05-09T01:35:00Z,SOLUSDT,BUY,BOX_BREAKOUT_UP,92.84,100.06
2026-05-09T04:55:00Z,SOLUSDT,SELL,TP/SL_OR_FAIL,93.24,100.09
2026-05-09T05:00:00Z,SOLUSDT,SHORT,BOX_BREAKOUT_DOWN,92.98,100.09
2026-05-09T06:00:00Z,SOLUSDT,COVER,TP/SL_OR_FAIL,93.91,100.04
2026-05-09T09:10:00Z,SOLUSDT,SHORT,BOX_BREAKOUT_DOWN,93.49,100.04
2026-05-09T10:35:00Z,SOLUSDT,COVER,TP/SL_OR_FAIL,93.57,100.03
