ts,balance,positions,total_equity
2026-05-08T09:25:00+00:00,100.0,0,100.0
2026-05-08T10:15:00+00:00,100.0,0,100.0
2026-05-08T11:05:00+00:00,100.0,0,100.0
2026-05-08T11:55:00+00:00,100.0,0,100.0
2026-05-08T12:45:00+00:00,100.0,0,100.0
2026-05-08T13:35:00+00:00,100.0,0,100.0
2026-05-08T14:25:00+00:00,100.0,0,100.0
2026-05-08T15:15:00+00:00,100.0,0,100.0
2026-05-08T16:05:00+00:00,100.0,0,100.0
2026-05-08T16:55:00+00:00,100.0,0,100.0
2026-05-08T17:45:00+00:00,100.0,0,100.0
2026-05-08T18:35:00+00:00,100.0,0,100.0
2026-05-08T19:25:00+00:00,100.0,0,100.0
2026-05-08T20:15:00+00:00,100.0,0,100.0
2026-05-08T21:05:00+00:00,100.0,0,100.0
2026-05-08T21:55:00+00:00,100.0,0,100.0
2026-05-08T22:45:00+00:00,100.0,0,100.0
2026-05-08T23:35:00+00:00,100.0,0,100.0
2026-05-09T00:25:00+00:00,100.0,0,100.0
2026-05-09T01:15:00+00:00,100.0,0,100.0
2026-05-09T02:05:00+00:00,100.0,0,100.0
2026-05-09T02:55:00+00:00,100.0,0,100.0
2026-05-09T03:45:00+00:00,100.0,0,100.0
2026-05-09T04:35:00+00:00,100.0,0,100.0
2026-05-09T05:25:00+00:00,100.0,0,100.0
2026-05-09T06:15:00+00:00,100.0,0,100.0
2026-05-09T07:05:00+00:00,100.0,0,100.0
