ts,side,qty,usd_amount,pnl,symbol
2026-05-08T13:25:00Z,SHORT,0.056632,5.0,0,SOLUSDT
2026-05-08T14:00:00Z,COVER,0.056632,5.0,-0.0187,SOLUSDT
2026-05-08T14:35:00Z,BUY,0.056048,5.0,0,SOLUSDT
2026-05-08T15:15:00Z,SELL,0.056048,5.0,-0.0286,SOLUSDT
2026-05-08T16:10:00Z,BUY,0.055872,5.0,0,SOLUSDT
2026-05-08T17:30:00Z,SELL,0.055872,5.0,0.1184,SOLUSDT
2026-05-08T18:00:00Z,BUY,0.054484,5.0,0,SOLUSDT
2026-05-08T20:15:00Z,SELL,0.054484,5.0,0.0267,SOLUSDT
2026-05-08T20:35:00Z,SHORT,0.054124,5.0,0,SOLUSDT
2026-05-08T21:40:00Z,COVER,0.054124,5.0,0.0,SOLUSDT
2026-05-08T22:00:00Z,BUY,0.054066,5.0,0,SOLUSDT
2026-05-08T22:50:00Z,SELL,0.054066,5.0,-0.0108,SOLUSDT
2026-05-08T23:00:00Z,SHORT,0.054206,5.0,0,SOLUSDT
2026-05-09T00:15:00Z,COVER,0.054206,5.0,0.0049,SOLUSDT
2026-05-09T00:20:00Z,BUY,0.054183,5.0,0,SOLUSDT
2026-05-09T01:50:00Z,SELL,0.054183,5.0,0.078,SOLUSDT
2026-05-09T02:30:00Z,BUY,0.053442,5.0,0,SOLUSDT
2026-05-09T04:35:00Z,SELL,0.053442,5.0,-0.0016,SOLUSDT
2026-05-09T04:40:00Z,SHORT,0.05351,5.0,0,SOLUSDT
2026-05-09T05:30:00Z,COVER,0.05351,5.0,-0.0075,SOLUSDT
2026-05-09T05:35:00Z,BUY,0.053379,5.0,0,SOLUSDT
2026-05-09T06:30:00Z,SELL,0.053379,5.0,-0.008,SOLUSDT
2026-05-09T07:05:00Z,SHORT,0.053545,5.0,0,SOLUSDT
2026-05-09T07:20:00Z,COVER,0.053545,5.0,-0.0225,SOLUSDT
2026-05-09T07:55:00Z,BUY,0.053328,5.0,0,SOLUSDT
2026-05-09T08:55:00Z,SELL,0.053328,5.0,-0.0021,SOLUSDT
2026-05-09T09:00:00Z,SHORT,0.053407,5.0,0,SOLUSDT
2026-05-09T10:30:00Z,COVER,0.053407,5.0,0.0059,SOLUSDT
2026-05-09T10:35:00Z,BUY,0.053436,5.0,0,SOLUSDT
2026-05-09T12:15:00Z,SELL,0.053436,5.0,-0.0027,SOLUSDT
