ts,side,qty,usd_amount,pnl,symbol
2026-05-08T14:15:00Z,BUY,0.055991,5.0,0,SOLUSDT
2026-05-08T17:30:00Z,SELL,0.055991,5.0,0.1293,SOLUSDT
2026-05-08T17:35:00Z,BUY,0.054419,5.0,0,SOLUSDT
2026-05-08T20:50:00Z,SELL,0.054419,5.0,0.0125,SOLUSDT
2026-05-08T21:05:00Z,SHORT,0.054419,5.0,0,SOLUSDT
2026-05-08T22:10:00Z,COVER,0.054419,5.0,-0.0419,SOLUSDT
2026-05-09T01:35:00Z,BUY,0.053856,5.0,0,SOLUSDT
2026-05-09T04:55:00Z,SELL,0.053856,5.0,0.0215,SOLUSDT
2026-05-09T05:00:00Z,SHORT,0.053775,5.0,0,SOLUSDT
2026-05-09T06:00:00Z,COVER,0.053775,5.0,-0.05,SOLUSDT
