ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-01-01T01:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,43071.36,43080.72,43069.06,43076.62,0,0,0,0,100.0
2026-01-01T01:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,43076.62,43081.36,43074.33,43077.32,0,0,0,0,100.0
2026-01-01T01:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,43077.32,43079.42,43052.04,43058.5,0,0,0,0,100.0
2026-01-01T01:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43058.5,43063.58,43035.18,43041.66,0,0,0,0,100.0
2026-01-01T01:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,INVALID_PLAN,43041.66,43047.1,43015.95,43017.33,0,0,0,0,100.0
2026-01-01T01:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43017.33,43029.1,43013.08,43025.33,0,0,0,0,100.0
2026-01-01T02:00:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43025.33,43029.5,43017.55,43019.8,0,0,0,0,100.0
2026-01-01T02:05:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43019.8,43020.06,43008.61,43011.88,0,0,0,0,100.0
2026-01-01T02:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43011.88,43029.71,43009.9,43023.37,0,0,0,0,100.0
2026-01-01T02:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,INVALID_PLAN,43023.37,43025.21,42998.66,43001.68,0,0,0,0,100.0
2026-01-01T02:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_ZONE,43001.68,43026.94,43000.46,43021.63,0,0,0,0,100.0
2026-01-01T02:25:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43021.63,43022.72,43014.17,43017.25,0,0,0,0,100.0
2026-01-01T02:30:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43017.25,43041.41,43011.25,43036.73,0,0,0,0,100.0
2026-01-01T02:35:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43036.73,43055.9,43030.18,43054.81,0,0,0,0,100.0
2026-01-01T02:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43054.81,43059.46,43041.88,43041.98,0,0,0,0,100.0
2026-01-01T02:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43041.98,43065.81,43038.25,43063.31,0,0,0,0,100.0
2026-01-01T02:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,43063.31,43065.52,43038.22,43038.73,0,0,0,0,100.0
2026-01-01T02:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,43038.73,43065.23,43035.41,43057.43,0,0,0,0,100.0
2026-01-01T03:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,43057.43,43077.19,43055.63,43073.34,0,0,0,0,100.0
2026-01-01T03:05:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,43073.34,43079.85,43062.96,43064.68,0,0,0,0,100.0
2026-01-01T03:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,43064.68,43079.09,43060.63,43074.18,0,0,0,0,100.0
2026-01-01T03:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,43074.18,43080.21,43049.19,43055.78,0,0,0,0,100.0
