ts,balance,position_qty,avg_entry,position_value,unrealized_pnl,realized_pnl,total_equity,price
2026-05-07T07:25:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.62
2026-05-07T07:50:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,90.05
2026-05-07T08:15:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.77
2026-05-07T08:40:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.62
2026-05-07T09:05:00+00:00,98.0,-3.353102,0,-300.27,-300.2703,0.0,-202.27,89.55
2026-05-07T09:30:00+00:00,98.0,-3.353102,0,-300.1,-300.1027,0.0,-202.1,89.5
2026-05-07T09:55:00+00:00,98.0,-3.353102,0,-299.97,-299.9685,0.0,-201.97,89.46
2026-05-07T10:20:00+00:00,101.15,0.0,0,0.0,0.0,1.1471,101.15,89.05
2026-05-07T10:45:00+00:00,101.15,0.0,0,0.0,0.0,1.1471,101.15,89.11
2026-05-07T11:10:00+00:00,101.15,0.0,0,0.0,0.0,1.1471,101.15,89.46
2026-05-07T11:35:00+00:00,101.15,0.0,0,0.0,0.0,1.1471,101.15,89.52
2026-05-07T12:00:00+00:00,101.15,0.0,0,0.0,0.0,1.1471,101.15,89.77
2026-05-07T12:25:00+00:00,101.15,0.0,0,0.0,0.0,1.1471,101.15,89.93
2026-05-07T12:50:00+00:00,101.15,0.0,0,0.0,0.0,1.1471,101.15,89.77
2026-05-07T13:15:00+00:00,101.15,0.0,0,0.0,0.0,1.1471,101.15,89.39
2026-05-07T13:40:00+00:00,99.12,-3.406045,0,-302.9,-302.8996,1.1471,-203.78,88.93
2026-05-07T14:05:00+00:00,100.19,-3.459126,0,-306.37,-306.3747,2.2386,-206.18,88.57
2026-05-07T14:30:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.2
2026-05-07T14:55:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.15
2026-05-07T15:20:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.02
2026-05-07T15:45:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.52
2026-05-07T16:10:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.35
2026-05-07T16:35:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.46
2026-05-07T17:00:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.47
2026-05-07T17:25:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.17
2026-05-07T17:50:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.52
2026-05-07T18:15:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.8
2026-05-07T18:40:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.62
2026-05-07T19:05:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.38
2026-05-07T19:30:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.44
2026-05-07T19:55:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.45
2026-05-07T20:20:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.55
2026-05-07T20:45:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.26
2026-05-07T21:10:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,87.89
2026-05-07T21:35:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.15
2026-05-07T22:00:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,87.78
2026-05-07T22:25:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.02
2026-05-07T22:50:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.09
2026-05-07T23:15:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.1
2026-05-07T23:40:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.39
2026-05-08T00:05:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.58
2026-05-08T00:30:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.4
2026-05-08T00:55:00+00:00,103.52,0.0,0,0.0,0.0,3.5234,103.52,88.27
2026-05-08T01:20:00+00:00,101.45,-3.524879,0,-310.51,-310.5066,3.5234,-209.05,88.09
2026-05-08T01:45:00+00:00,101.45,-3.524879,0,-310.75,-310.7533,3.5234,-209.3,88.16
2026-05-08T02:10:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,87.94
2026-05-08T02:35:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,88.06
2026-05-08T03:00:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,87.75
2026-05-08T03:25:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,88.21
2026-05-08T03:50:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,88.29
2026-05-08T04:15:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,88.36
2026-05-08T04:40:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,88.12
2026-05-08T05:05:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,88.19
2026-05-08T05:30:00+00:00,104.99,0.0,0,0.0,0.0,4.9913,104.99,88.35
