ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-06T20:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.16,89.21,89.0,89.0,0,0,0,0,100.0
2026-05-06T20:45:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.0,89.07,88.92,88.94,0,0,0,0,100.0
2026-05-06T20:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.95,89.02,88.92,89.01,0,0,0,0,100.0
2026-05-06T20:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.0,89.19,88.99,89.19,0,0,0,0,100.0
2026-05-06T21:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.19,89.25,89.14,89.23,0,0,0,0,100.0
2026-05-06T21:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.24,89.4,89.19,89.4,0,0,0,0,100.0
2026-05-06T21:10:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.4,89.4,89.07,89.23,0,0,0,0,100.0
2026-05-06T21:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.24,89.36,89.23,89.28,0,0,0,0,100.0
2026-05-06T21:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.28,89.4,89.27,89.38,0,0,0,0,100.0
2026-05-06T21:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.38,89.43,89.28,89.41,0,0,0,0,100.0
2026-05-06T21:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.42,89.52,89.3,89.44,0,0,0,0,100.0
2026-05-06T21:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.44,89.59,89.44,89.57,0,0,0,0,100.0
2026-05-06T21:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.57,89.6,89.47,89.5,0,0,0,0,100.0
2026-05-06T21:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.5,89.52,89.39,89.46,0,0,0,0,100.0
2026-05-06T21:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.45,89.58,89.45,89.54,0,0,0,0,100.0
2026-05-06T21:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.54,89.58,89.44,89.47,0,0,0,0,100.0
2026-05-06T22:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.48,89.57,89.36,89.49,0,0,0,0,100.0
2026-05-06T22:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.49,89.55,89.31,89.32,0,0,0,0,100.0
2026-05-06T22:10:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.31,89.37,89.24,89.34,0,0,0,0,100.0
2026-05-06T22:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.35,89.37,89.24,89.24,0,0,0,0,100.0
2026-05-06T22:20:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.24,89.24,89.11,89.15,0,0,0,0,100.0
