ts,balance,positions,total_equity
2026-05-08T05:25:00+00:00,100.0,0,100.0
2026-05-08T06:15:00+00:00,100.0,0,100.0
2026-05-08T07:05:00+00:00,100.0,0,100.0
2026-05-08T07:55:00+00:00,100.0,0,100.0
2026-05-08T08:45:00+00:00,100.0,0,100.0
2026-05-08T09:35:00+00:00,100.0,0,100.0
2026-05-08T10:25:00+00:00,100.0,0,100.0
2026-05-08T11:15:00+00:00,100.0,0,100.0
2026-05-08T12:05:00+00:00,100.0,0,100.0
2026-05-08T12:55:00+00:00,100.0,0,100.0
2026-05-08T13:45:00+00:00,100.0,0,100.0
2026-05-08T14:35:00+00:00,100.0,0,100.0
2026-05-08T15:25:00+00:00,100.0,0,100.0
2026-05-08T16:15:00+00:00,100.0,0,100.0
2026-05-08T17:05:00+00:00,100.0,0,100.0
2026-05-08T17:55:00+00:00,100.0,0,100.0
2026-05-08T18:45:00+00:00,100.0,0,100.0
2026-05-08T19:35:00+00:00,100.0,0,100.0
2026-05-08T20:25:00+00:00,100.0,0,100.0
2026-05-08T21:15:00+00:00,100.0,0,100.0
2026-05-08T22:05:00+00:00,100.0,0,100.0
2026-05-08T22:55:00+00:00,100.0,0,100.0
2026-05-08T23:45:00+00:00,100.0,0,100.0
2026-05-09T00:35:00+00:00,100.0,0,100.0
2026-05-09T01:25:00+00:00,100.0,0,100.0
2026-05-09T02:15:00+00:00,100.0,0,100.0
2026-05-09T03:05:00+00:00,100.0,0,100.0
