ts,symbol,action,reason,price,balance
2026-05-08T14:50:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,89.24,100.0
2026-05-08T17:30:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,91.61,100.13
2026-05-08T19:05:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,92.4,100.13
2026-05-08T21:10:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,91.91,100.11
2026-05-08T21:25:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,91.93,100.11
2026-05-08T21:45:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,92.33,100.08
2026-05-08T22:00:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,92.48,100.08
2026-05-08T23:10:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,92.04,100.06
2026-05-08T23:20:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,91.97,100.06
2026-05-09T00:30:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,92.5,100.03
2026-05-09T00:45:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,92.52,100.03
2026-05-09T04:05:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,94.01,100.11
2026-05-09T04:30:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,93.71,100.11
2026-05-09T05:00:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,92.98,100.07
2026-05-09T05:40:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,93.71,100.07
2026-05-09T06:50:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,93.48,100.06
2026-05-09T07:05:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,93.38,100.06
2026-05-09T07:20:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,93.8,100.04
2026-05-09T07:55:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,93.76,100.04
2026-05-09T09:10:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,93.49,100.02
2026-05-09T09:35:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,93.35,100.02
2026-05-09T11:20:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,93.65,100.01
2026-05-09T11:25:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,93.67,100.01
2026-05-09T12:35:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,93.3,99.99
2026-05-09T13:00:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,93.36,99.99
