ts,side,qty,usd_amount,pnl,symbol
2026-05-08T14:50:00Z,BUY,0.056029,5.0,0,SOLUSDT
2026-05-08T17:30:00Z,SELL,0.056029,5.0,0.1328,SOLUSDT
2026-05-08T19:05:00Z,BUY,0.054113,5.0,0,SOLUSDT
2026-05-08T21:10:00Z,SELL,0.054113,5.0,-0.0265,SOLUSDT
2026-05-08T21:25:00Z,SHORT,0.054389,5.0,0,SOLUSDT
2026-05-08T21:45:00Z,COVER,0.054389,5.0,-0.0218,SOLUSDT
2026-05-08T22:00:00Z,BUY,0.054066,5.0,0,SOLUSDT
2026-05-08T23:10:00Z,SELL,0.054066,5.0,-0.0238,SOLUSDT
2026-05-08T23:20:00Z,SHORT,0.054366,5.0,0,SOLUSDT
2026-05-09T00:30:00Z,COVER,0.054366,5.0,-0.0288,SOLUSDT
2026-05-09T00:45:00Z,BUY,0.054042,5.0,0,SOLUSDT
2026-05-09T04:05:00Z,SELL,0.054042,5.0,0.0805,SOLUSDT
2026-05-09T04:30:00Z,BUY,0.053356,5.0,0,SOLUSDT
2026-05-09T05:00:00Z,SELL,0.053356,5.0,-0.0389,SOLUSDT
2026-05-09T05:40:00Z,BUY,0.053356,5.0,0,SOLUSDT
2026-05-09T06:50:00Z,SELL,0.053356,5.0,-0.0123,SOLUSDT
2026-05-09T07:05:00Z,SHORT,0.053545,5.0,0,SOLUSDT
2026-05-09T07:20:00Z,COVER,0.053545,5.0,-0.0225,SOLUSDT
2026-05-09T07:55:00Z,BUY,0.053328,5.0,0,SOLUSDT
2026-05-09T09:10:00Z,SELL,0.053328,5.0,-0.0144,SOLUSDT
2026-05-09T09:35:00Z,SHORT,0.053562,5.0,0,SOLUSDT
2026-05-09T11:20:00Z,COVER,0.053562,5.0,-0.0161,SOLUSDT
2026-05-09T11:25:00Z,BUY,0.053379,5.0,0,SOLUSDT
2026-05-09T12:35:00Z,SELL,0.053379,5.0,-0.0198,SOLUSDT
2026-05-09T13:00:00Z,SHORT,0.053556,5.0,0,SOLUSDT
